n,gamma,beta_partial,energy_mean_partial,Jminus1_over_gamma
561,889.7352942940907,0.028825363218336217,0.022063283382936897,0.09138867401931847
562,890.813132112528,0.028825478636627863,0.022063368634613535,0.09132950653136838
563,892.3864332601559,0.02882573500482214,0.02206355828306154,0.09128287995401414
564,893.1191175672942,0.028825999894973038,0.022063754345400147,0.09132628387454214
565,894.8862923208687,0.028826510843338853,0.022064132764958836,0.09137455791038482
566,895.397919674783,0.028827027242313633,0.02206451520244135,0.09155353815187721
567,896.6322515562027,0.02882707167915614,0.022064548094229038,0.0914474244592643
568,899.2215226683834,0.028827258453744883,0.02206468602283417,0.09126808128097914
569,899.8588846079375,0.028827763475796273,0.022065058744608745,0.09143066128148923
570,900.8497398605214,0.028828054107672172,0.022065273071085464,0.09146100348413214
571,902.2432075867524,0.02882831143625212,0.022065462725531552,0.09143583323667376
572,903.0996744426304,0.02882848667165006,0.022065591877173583,0.0914282463606232
573,904.7029027222814,0.02882855646248883,0.02206564335337609,0.09129779593101042
574,905.8299407582222,0.028828609493899746,0.022065682506005508,0.09120822149467896
575,907.6567294689676,0.028828739457333066,0.022065778625646237,0.09108363304180725
576,908.3335436450608,0.02882888254255708,0.022065884508284894,0.09108074971143935
577,910.1863340571798,0.028829009674991968,0.022065978660567896,0.09095320134512906
578,911.2349514859555,0.028829361815324566,0.022066239416582284,0.09100897690817693
579,912.3310456000356,0.028830342820825763,0.022066965428151265,0.09134713779027688
580,912.8239992467434,0.028830880412241692,0.022067363134430265,0.09154317071186548
